title,url,type_bill,year,period
PL 205-24 GESTIÓN COMUNITARIA DEL AGUA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3357-proyecto-de-ley-205-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 204-24 SPA Descargar ,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3340-proyecto-de-ley-204-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 203-24 SEGURIDAD VIAL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3339-proyecto-de-ley-203-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 202-24 CATEDRA DE EDUCACIÓN EMOCIONAL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3338-proyecto-de-ley-202-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 201-24 PARIDAD REAL CUOTA DE GENERO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3337-proyecto-de-ley-201-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 200-24 LEY LOS PADRES EDUCAN,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3336-proyecto-de-ley-200-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 199-24 LEY NO HAGAS A OTRO LO QUE NO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3335-proyecto-de-ley-199-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 198-24 HERMANDAD NAZARENA TOLU,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3334-proyecto-de-ley-198-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 197-24 GESTORES SOCIALES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3333-proyecto-de-ley-197-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 196-24 CULTURAS Y SABERES CAMPESINOS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3332-proyecto-de-ley-196-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 195-24 DERECHO A LA EDUCACIÓN CAMPESINA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3331-proyecto-de-ley-195-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 194-24 PLAZAS DE MERCADO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3330-proyecto-de-ley-194-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 193-24 TRASTORNO ESPECTRO AUTISTA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3329-proyecto-de-ley-193-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 192-24 POETA PORFIRIO BARBA JACOB,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3328-proyecto-de-ley-192-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 191-24 CPACA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3327-proyecto-de-ley-191-de-2024,Proyecto de ley,2024-2025,2022 - 2026
